,Title,Year,Rated,Genre,Director,Plot,Language,Country,Awards,Ratings,imdbRating,imdbVotes
1300,Maya Angelou And Still I Rise,2016,Not Rated,"Documentary, Biography, History","Rita Coburn, Bob Hercules","The first feature documentary about the remarkable writer, poet, actress, activist Maya Angelou.",English,United States,6 wins & 5 nominations,"Internet Movie Database:7.8/10, Rotten Tomatoes:96%, Metacritic:66/100",7.8,571
1301,Maza Pati Karodpati,1988,Not Rated,Drama,Sachin Pilgaonkar,A young girl values money more than love.,Marathi,India,N/A,Internet Movie Database:7.4/10,7.4,87
1302,Meditation Park,2017,PG,Drama,Mina Shum,An aging woman questions her life after suspecting her husband is having an affair.,"English, Cantonese",Canada,1 win & 4 nominations,"Internet Movie Database:7.1/10, Rotten Tomatoes:90%",7.1,553
1303,Melle,2017,N/A,"Drama, Family, Musical",Binu Ulahhannan,Uma and her father Job live together in Kolkatta. He wants to return to his homeland. After an upsetting experience Uma meets the love of her life. Together they set off to discover their new life together .,Malayalam,India,N/A,Internet Movie Database:6.1/10,6.1,74
1304,Middle School: The Worst Years of My Life,2016,PG,"Animation, Comedy, Family",Steve Carr,"After his principal (Andy Daly) destroys his sketchbook, Rafe (Griffin Gluck) and his best friend Leo (Thomas Barbusca) decide to ""destroy his book"" and break every rule in the school's Code of Conduct.","English, Central Khmer, Spanish",United States,5 nominations,"Internet Movie Database:6.1/10, Rotten Tomatoes:64%, Metacritic:51/100",6.1,"9,543"
1305,Minute to Win It,2010–2014,TV-PG,"Game-Show, Reality-TV",N/A,"Contestants can win $1 million by completing ten tasks involving common household objects, with a one-minute time limit for each task.",English,United States,N/A,Internet Movie Database:5.1/10,5.1,"1,080"
1306,Miracle,2004,PG,"Biography, Drama, History",Gavin O'Connor,"The true story of Herb Brooks, the player-turned-coach who led the 1980 U.S. Olympic hockey team to victory over the seemingly invincible Soviet squad.",English,"Canada, United States",2 wins & 4 nominations,"Internet Movie Database:7.4/10, Rotten Tomatoes:81%, Metacritic:68/100",7.4,"56,902"
1307,Mirror Mirror,2012,PG,"Adventure, Comedy, Drama",Tarsem Singh,An evil queen steals control of a kingdom and an exiled princess enlists the help of seven resourceful rebels to win back her birthright.,English,"United States, Canada",Nominated for 1 Oscar. 2 wins & 9 nominations total,"Internet Movie Database:5.6/10, Rotten Tomatoes:50%, Metacritic:46/100",5.6,"89,488"
1308,Monkey Planet,2014,TV-PG,Documentary,N/A,We are part of an extraordinary family. We have hundreds of bizarre and colorful relatives who live in exotic locations - yet most of us know almost nothing about them. From the orangutan who washes every morning to the bonobo bab...,English,United Kingdom,N/A,Internet Movie Database:8.6/10,8.6,105
1309,Monkey Up,2016,PG,"Comedy, Family, Fantasy",Robert Vince,"With their parents preoccupied with their new careers, a young girl and her brother befriend a talking monkey who is struggling to be taken seriously as an actor.",English,Canada,1 nomination,Internet Movie Database:3.7/10,3.7,418
1310,Monster Family,2017,PG,"Animation, Comedy, Family",Holger Tappe,"Despite the title, the Wishbone family are far from happy. In an attempt to reconnect as a family, Mum and Emma plan a fun night out. However, her plan backfires when an evil witch curses them, and they're all turned into Monsters.","English, German","Germany, United Kingdom",N/A,"Internet Movie Database:4.8/10, Rotten Tomatoes:10%",4.8,"5,180"
1311,Monster High: 13 Wishes,2013,TV-Y7,Animation,"Steve Sacks, Andrew Duncan, Audu Paden","It's a new school year at Monster High! Howleen's dream of popularity becomes a possibility when she stumbles upon a genie who grants her not 3, but 13 wishes!",English,United States,N/A,Internet Movie Database:6.8/10,6.8,"1,152"
1312,"Monster High: Boo York, Boo York",2015,Not Rated,"Animation, Fantasy","William Lau, Dan Fraga","The ghouls are taking a bite out of Boo York! The De Niles are hoping to meet their dynastic destiny and carve out a new empire, while Catty Noir is trying to find her music. Together the ghouls are taking Boo York by storm.",English,USA,1 nomination.,Internet Movie Database:6.7/10,6.7,657
1313,Monster High: Escape from Skull Shores,2012,TV-Y7,Animation,"Steve Ball, Andrew Duncan",A spring break trip to the Great Barrier Reef goes monstrously awry when Lagoona Blue and her gilfriends find themselves shipwrecked on a mysterious skull-shaped island!,English,United States,N/A,Internet Movie Database:6.6/10,6.6,709
1314,Monster High: Freaky Fusion,2014,TV-Y7,Animation,"William Lau, Sylvain Blais","At Monster High, ten cute ghoul girls are sent 200 years back in time to when the school started. Returning to 2014, the time machine has fused 8 of them into 4 bodies. Solutions?",English,United States,2 nominations,Internet Movie Database:6.6/10,6.6,836
