,Title,Year,Rated,Genre,Director,Plot,Language,Country,Awards,Ratings,imdbRating,imdbVotes
0,The Starling,2021,PG-13,"Comedy, Drama",Theodore Melfi,"After Lilly suffers a loss, a combative Starling takes nest beside her quiet home. The feisty bird taunts and attacks the grief-stricken Lilly. On her journey to expel the Starling, she rediscovers her will to live and capacity fo...","English, Spanish",United States,2 wins,"Internet Movie Database:6.4/10, Rotten Tomatoes:20%, Metacritic:31/100",6.4,"14,445"
1,Angamaly Diaries,2017,Not Rated,"Action, Comedy, Thriller",Lijo Jose Pellissery,"Vincent Pepe who wanted to be a powerful leader of a righteous gang that ruled the city, like his seniors. And then there's the rival clan with the malicious gangsters of Angamaly a locale on which the film is based.",Malayalam,India,2 wins & 6 nominations,Internet Movie Database:7.9/10,7.9,"6,431"
2,Clear and Present Danger,1994,PG-13,"Action, Crime, Drama",Phillip Noyce,CIA Analyst Jack Ryan is drawn into an illegal war fought by the US government against a Colombian drug cartel.,"English, Spanish",United States,Nominated for 2 Oscars. 3 wins & 11 nominations total,"Internet Movie Database:6.9/10, Rotten Tomatoes:81%, Metacritic:74/100",6.9,"103,887"
3,Krishna Cottage,2004,Not Rated,"Horror, Mystery, Romance",Santram Varma,A group of collegians are forced to take shelter in a mysterious Krishna Cottage for the night. Little do they know that the cottage is haunted by a spirit.,Hindi,India,N/A,Internet Movie Database:5.2/10,5.2,"1,314"
4,The Dirty Picture,2011,Not Rated,"Biography, Comedy, Drama",Milan Luthria,"The love story between an actress and a director, inspired by the life of the late south Indian actress Silk Smitha.","Hindi, Tamil, English",India,34 wins & 31 nominations,"Internet Movie Database:6.6/10, Rotten Tomatoes:100%",6.6,"10,111"
5,Seabiscuit,2003,PG-13,"Drama, History, Sport",Gary Ross,True story of the undersized Depression-era racehorse whose victories lifted not only the spirits of the team behind it but also those of their nation.,English,United States,Nominated for 7 Oscars. 6 wins & 44 nominations total,"Internet Movie Database:7.3/10, Rotten Tomatoes:78%, Metacritic:72/100",7.3,"75,265"
6,Chicago Med,2015–,TV-14,Drama,N/A,"The city's most highly skilled medical team saves lives, while navigating their unique interpersonal relationships.",English,United States,5 wins & 4 nominations,Internet Movie Database:7.6/10,7.6,"27,551"
7,The Twilight Saga: Breaking Dawn - Part 1,2011,PG-13,"Adventure, Drama, Fantasy",Bill Condon,"The Quileutes close in on expecting parents Edward and Bella, whose unborn child poses a threat to the Wolf Pack and the towns people of Forks.","English, Portuguese",United States,11 wins & 22 nominations,"Internet Movie Database:4.9/10, Rotten Tomatoes:25%, Metacritic:45/100",4.9,"247,015"
8,The Twilight Saga: Breaking Dawn - Part 2,2012,PG-13,"Adventure, Drama, Fantasy",Bill Condon,"After the birth of Renesmee/Nessie, the Cullens gather other vampire clans in order to protect the child from a false allegation that puts the family in front of the Volturi.",English,United States,Nominated for 1 BAFTA Award21 wins & 15 nominations total,"Internet Movie Database:5.5/10, Rotten Tomatoes:49%, Metacritic:52/100",5.5,"255,385"
9,The Twilight Saga: Eclipse,2010,PG-13,"Action, Adventure, Drama",David Slade,"As a string of mysterious killings grips Seattle, Bella, whose high school graduation is fast approaching, is forced to choose between her love for vampire Edward and her friendship with werewolf Jacob.",English,United States,22 wins & 35 nominations,"Internet Movie Database:5.1/10, Rotten Tomatoes:47%, Metacritic:58/100",5.1,"253,194"
10,The Twilight Saga: New Moon,2009,PG-13,"Adventure, Drama, Fantasy",Chris Weitz,"Edward leaves Bella after an attack that nearly claimed her life, and, in her depression, she falls into yet another difficult relationship - this time with her close friend, Jacob Black.","English, Italian",United States,20 wins & 24 nominations,"Internet Movie Database:4.8/10, Rotten Tomatoes:29%, Metacritic:44/100",4.8,"291,605"
11,Twilight,2008,PG-13,"Drama, Fantasy, Romance",Catherine Hardwicke,"When Bella Swan moves to a small town in the Pacific Northwest, she falls in love with Edward Cullen, a mysterious classmate who reveals himself to be a 108-year-old vampire.",English,United States,33 wins & 16 nominations,"Internet Movie Database:5.3/10, Rotten Tomatoes:49%, Metacritic:56/100",5.3,"472,994"
12,Rehmataan,2012,N/A,"Drama, Family, Romance","Rajveer Singh Maan, Harpreet Matharoo",,Punjabi,India,N/A,,N/A,N/A
13,Winchester,2018,PG-13,"Drama, Fantasy, Horror","Michael Spierig, Peter Spierig","Ensconced in her sprawling San Jose, California mansion, eccentric firearm heiress Sarah Winchester (Dame Helen Mirren) believes she is haunted by the souls of people killed by the Winchester repeating rifle.",English,"Australia, United States",6 wins & 10 nominations,"Internet Movie Database:5.4/10, Rotten Tomatoes:13%, Metacritic:28/100",5.4,"35,495"
14,Riverdale,2017–2023,TV-14,"Crime, Drama, Mystery",N/A,"While navigating the troubled waters of romance, school and family, Archie and his gang become entangled in dark Riverdale mysteries.",English,United States,37 wins & 74 nominations,Internet Movie Database:6.6/10,6.6,"149,720"
15,678,2009–2015,N/A,News,N/A,N/A,Spanish,Argentina,N/A,,N/A,29
16,Shadow and Bone,2021–,TV-14,"Action, Adventure, Drama",N/A,Dark forces conspire against orphan mapmaker Alina Starkov when she unleashes an extraordinary power that could change the fate of her war-torn world.,English,United States,1 win & 4 nominations,Internet Movie Database:7.6/10,7.6,"106,161"
17,The Zookeeper's Wife,2017,PG-13,"Biography, Drama, History",Niki Caro,"Keepers of the Warsaw Zoo, Antonina and Jan Zabinski, must save hundreds of people and animals during the Nazi invasion in WWII Poland.","Hebrew, Polish, English, German","Czech Republic, United Kingdom, United States",2 wins & 3 nominations,"Internet Movie Database:7.0/10, Rotten Tomatoes:64%, Metacritic:57/100",7.0,"44,990"
18,Moxie,2021,PG-13,"Comedy, Drama, Music",Amy Poehler,"Inspired by her mom's rebellious past and a confident new friend, a shy 16-year-old publishes an anonymous zine calling out sexism at her school.",English,United States,N/A,"Internet Movie Database:6.7/10, Rotten Tomatoes:70%, Metacritic:54/100",6.7,"27,393"
19,Dances with Wolves,1990,PG-13,"Adventure, Drama, Western",Kevin Costner,"Lieutenant John Dunbar, assigned to a remote western Civil War outpost, finds himself engaging with a neighbouring Sioux settlement, causing him to question his own purpose.","English, Sioux, Pawnee","United States, United Kingdom",Won 7 Oscars. 54 wins & 38 nominations total,"Internet Movie Database:8.0/10, Rotten Tomatoes:87%, Metacritic:72/100",8.0,"278,615"
20,Operation Finale,2018,PG-13,"Biography, Drama, History",Chris Weitz,A team of secret agents set out to track down the Nazi officer who masterminded the Holocaust.,"English, Spanish, French, German, Hebrew, Arabic",United States,2 nominations,"Internet Movie Database:6.6/10, Rotten Tomatoes:61%, Metacritic:58/100",6.6,"45,730"
21,The Dig,2021,PG-13,"Biography, Drama, History",Simon Stone,An archaeologist embarks on the historically important excavation of Sutton Hoo in 1938.,English,United Kingdom,Nominated for 5 BAFTA 3 wins & 10 nominations total,"Internet Movie Database:7.1/10, Rotten Tomatoes:88%, Metacritic:73/100",7.1,"78,727"
22,100% Halal,2020,N/A,Drama,Jastis Arimba,"When she was just learning to cultivate love, Anisa Santosa, who had just married young to Putra Alfatih the husband of choice for her father, Ilham Santosa.",Indonesian,Indonesia,N/A,Internet Movie Database:6.7/10,6.7,65
23,Too Handsome to Handle,2019,TV-PG,"Comedy, Drama",Sabrina Rochelle Kalangie,"Kulin, an overly handsome boy, always avoids entering regular school and chooses to spend almost 100% of his life inside the house. One day, Kulin's handsomeness is exposed to the outside world so his daily life becomes unusual.",Indonesian,Indonesia,2 nominations,Internet Movie Database:6.6/10,6.6,680
24,The Midnight Sky,2020,PG-13,"Adventure, Drama, Sci-Fi",George Clooney,"This post-apocalyptic tale follows Augustine, a lonely scientist in the Arctic, as he races to stop Sully and her fellow astronauts from returning home to a mysterious global catastrophe.",English,United States,Nominated for 1 Oscar. 5 wins & 46 nominations total,"Internet Movie Database:5.7/10, Rotten Tomatoes:49%, Metacritic:58/100",5.7,"86,509"
25,An Unremarkable Christmas,2020,TV-14,"Comedy, Drama",Juan Camilo Pinzón,"Before the events of S1, Juanquini, El Ñato and Captain González shared one Christmas wish: being courageous enough to change their lives. One mysterious character, El Dañado, could be the one who makes their dreams come true.",Spanish,Colombia,N/A,Internet Movie Database:3.4/10,3.4,152
26,Mother,2009,R,"Crime, Drama, Mystery",Bong Joon Ho,A mother desperately searches for the killer who framed her son for a girl's horrific murder.,Korean,South Korea,44 wins & 47 nominations,"Internet Movie Database:7.7/10, Rotten Tomatoes:96%, Metacritic:79/100",7.7,"68,170"
27,Dawson's Creek,1998–2003,TV-14,"Drama, Romance",N/A,"Two childhood best friends, Dawson and Joey, go through different stages of adolescence together. Their friendship is later tested when they both start a relationship with different people.",English,United States,8 wins & 26 nominations,Internet Movie Database:6.8/10,6.8,"42,915"
28,The Impossible,2012,PG-13,"Adventure, Drama, History",J.A. Bayona,The story of a tourist family in Thailand caught in the destruction and chaotic aftermath of the 2004 Indian Ocean tsunami.,"English, Thai, German, Swedish, Spanish","Spain, Thailand, United States",Nominated for 1 Oscar. 28 wins & 70 nominations total,"Internet Movie Database:7.5/10, Rotten Tomatoes:81%, Metacritic:73/100",7.5,"231,758"
29,His House,2020,TV-14,"Drama, Horror, Thriller",Remi Weekes,"A refugee couple makes a harrowing escape from war-torn South Sudan, but then they struggle to adjust to their new life in an English town that has an evil lurking beneath the surface.","English, Dinka",United Kingdom,Won 1 BAFTA Award8 wins & 37 nominations total,"Internet Movie Database:6.5/10, Rotten Tomatoes:100%, Metacritic:72/100",6.5,"45,446"
30,Fida,2004,Not Rated,"Action, Crime, Drama",Ken Ghosh,"A young man is hellbent to destroy his arch enemy and his lover, who destroyed his life.",Hindi,India,4 nominations,Internet Movie Database:5.4/10,5.4,"2,767"
31,Walk Away from Love,2017,TV-14,Romance,Christopher Nolen,"WALK AWAY FROM LOVE is the story of Micah (Noree Victoria), a single attorney who hasn't been in a committed relationship in three years. After having her heart broken, Micah has no plans of falling in love again any time soon. Bu...",English,United States,N/A,Internet Movie Database:6.6/10,6.6,112
32,Evil,2003,Not Rated,Drama,Mikael Håfström,"A teenage boy expelled from school for fighting arrives at a boarding school where the systematic bullying of younger students is encouraged as a means to maintain discipline, and decides to fight back.","Swedish, Finnish","Sweden, Denmark",Nominated for 1 Oscar. 9 wins & 10 nominations total,"Internet Movie Database:7.7/10, Rotten Tomatoes:68%, Metacritic:61/100",7.7,"40,237"
33,We Have Always Lived in the Castle,2018,Not Rated,"Drama, Horror, Mystery",Stacie Passon,"Merricat, Constance and their Uncle Julian live in isolation after experiencing a family tragedy six years earlier. When cousin Charles arrives to steal the family fortune, he also threatens a dark secret they've been hiding.",English,United States,1 win,"Internet Movie Database:5.6/10, Rotten Tomatoes:88%, Metacritic:63/100",5.6,"8,649"
34,Gunjan Saxena: The Kargil Girl,2020,TV-14,"Action, Biography, Drama","ALi Khan AK, Sharan Sharma",Inspired by the life of a fearless young officer who made history by becoming the first Indian female Air Force officer to fly in a combat zone during the 1999 Kargil War,Hindi,India,6 wins & 15 nominations,"Internet Movie Database:5.5/10, Rotten Tomatoes:100%",5.5,"35,178"
35,Sylvia,2003,R,"Biography, Drama, Romance",Christine Jeffs,"Story of the relationship between poets Edward James ""Ted"" Hughes and Sylvia Plath.",English,United Kingdom,1 win,"Internet Movie Database:6.3/10, Rotten Tomatoes:37%, Metacritic:56/100",6.3,"11,080"
36,Madras Cafe,2013,Not Rated,"Action, Drama, Thriller",Shoojit Sircar,An Indian intelligence agent journeys to a war-torn coastal island to break a resolute rebel group and meets a passionate journalist.,Hindi,India,12 wins & 15 nominations,Internet Movie Database:7.6/10,7.6,"25,025"
37,High Strung Free Dance,2016,PG,"Music, Romance",Michael Damian,A young choreographer casts a contemporary dancer and an innovative pianist in New York's most anticipated new Broadway show.,English,"Romania, United States",N/A,"Internet Movie Database:6.8/10, Rotten Tomatoes:50%, Metacritic:43/100",6.8,"2,146"
38,The Delivery Boy,1931,N/A,"Animation, Short, Comedy",Burt Gillett,"Delivery boy Mickey encounters Minnie washing clothes and singing. He stops for a quick song and dance with her. Meanwhile, Pluto gets tangled up in tar. Mickey sends a beehive flying; it lands on his mule, who kicks Mickey's inst...",English,United States,N/A,Internet Movie Database:6.1/10,6.1,350
39,The Artist,2011,PG-13,"Comedy, Drama, Romance",Michel Hazanavicius,An egomaniacal film star develops a relationship with a young dancer against the backdrop of Hollywood's silent era.,"English, French","France, Belgium, United States",Won 5 Oscars. 162 wins & 204 nominations total,"Internet Movie Database:7.9/10, Rotten Tomatoes:95%, Metacritic:89/100",7.9,"245,189"
40,The Promise,2016,PG-13,"Action, Adventure, Drama",Terry George,"Set during the last days of the Ottoman Empire, The Promise follows a love triangle between Michael, a brilliant medical student, the beautiful and sophisticated Ana, and Chris - a renowned American journalist based in Paris.","English, Armenian, German, French, Turkish","Spain, United States",3 wins & 4 nominations,"Internet Movie Database:6.1/10, Rotten Tomatoes:51%, Metacritic:49/100",6.1,"177,344"
41,Duniya,2007,N/A,Drama,Suri,"A poor manual labourer, Shivu, hopelessly tries to arrange money to carry out a funeral for his mother and rescues a girl from thugs along the way.",Kannada,India,3 wins,Internet Movie Database:7.7/10,7.7,287
42,The Body,2012,N/A,"Crime, Drama, Mystery",Oriol Paulo,A detective searches for the body of a femme fatale which has gone missing from a morgue.,Spanish,Spain,3 wins & 10 nominations,Internet Movie Database:7.6/10,7.6,"69,203"
43,Polaroid,2019,PG-13,"Drama, Horror, Mystery",Lars Klevberg,"High school loner Bird Fitcher has no idea what dark secrets are tied to the Polaroid camera she finds. It doesn't take long to discover that those who have their picture taken with it, soon die.",English,"United States, Norway, Canada",N/A,"Internet Movie Database:5.1/10, Rotten Tomatoes:0%",5.1,"15,292"
44,Azali,2018,N/A,Drama,Kwabena Gyansah,"Thrust into Accra by circumstances, a 14-year-old girl from Northern Ghana must endure life in the slums of Accra, and find a way to get back home.",Akan,Ghana,1 nomination,Internet Movie Database:5.7/10,5.7,249
45,Bulbul Can Sing,2018,N/A,Drama,Rima Das,"Exploring their sexual identities in the face of the patriarchal rules of their Assamese village, a teenager and her two friends are rocked by tragedy.",Assamese,India,10 wins & 7 nominations,"Internet Movie Database:6.9/10, Rotten Tomatoes:100%",6.9,431
46,Fukrey,2013,Not Rated,"Comedy, Drama, Romance",Mrighdeep Lamba,"The paths of four dream-chasing college friends cross with an array of colourful characters, from a tough-talking Punjabi female don to a Jugaad Baaz college watchman. Mayhem ensues.",Hindi,India,5 wins & 13 nominations,"Internet Movie Database:6.9/10, Rotten Tomatoes:50%",6.9,"12,401"
47,Honeymoon Travels Pvt. Ltd.,2007,Not Rated,"Comedy, Drama, Romance",Reema Kagti,"Six newly-married, diverse, honeymooning couples face marital bliss and discord, finding out more about themselves, their significant others and life in this happy-go-lucky, quirky drama.","Hindi, English, Bengali, Urdu, Bhojpuri",India,1 win & 6 nominations,Internet Movie Database:6.1/10,6.1,"2,801"
48,Talaash,1992–,N/A,"Drama, Mystery",N/A,It is the story of quest to find his long lost friend and to know the reason and consequences why he disappeared.,Hindi,India,N/A,Internet Movie Database:7.8/10,7.8,42
49,The Legend of White Snake,2019,N/A,"Drama, Fantasy, Romance",N/A,"Provoked by the actions of a seemingly sly human, an ancient snake spirit takes on a human form, in order to prove him a fraud. Convinced she's doing the world a favor, Bai Su Zhen challenges Xu Xuan to a contest of skill but what...",Chinese,China,4 wins & 1 nomination,Internet Movie Database:7.3/10,7.3,286
50,Romeo Akbar Walter,2019,Not Rated,"Action, Drama, Thriller",Robbie Grewal,"Prior to the India-Pakistan war of 1971, an Indian banker is recruited by the Research and Analysis Wing for a covert operation deep inside Pakistan.",Hindi,India,N/A,"Internet Movie Database:6.6/10, Rotten Tomatoes:15%",6.6,"6,074"
51,The Wolf's Call,2019,TV-14,"Action, Thriller",Antonin Baudry,"In the near future, a French submarine finds itself in a crisis situation.",French,France,1 win & 2 nominations,Internet Movie Database:6.9/10,6.9,"19,619"
52,Petta,2019,Not Rated,"Action, Drama",Karthik Subbaraj,"A hostel warden becomes the target of a dreaded politician and his gangster son, but little do they realize that it is they who should fear him.","Tamil, Hindi, Telugu",India,5 nominations,"Internet Movie Database:7.2/10, Rotten Tomatoes:67%",7.2,"10,878"
53,5 Flights Up,2014,PG-13,"Comedy, Drama",Richard Loncraine,A long-time married couple who've spent their lives together in the same New York apartment become overwhelmed by personal and real estate-related issues when they plan to move away.,English,United States,1 win,"Internet Movie Database:6.2/10, Rotten Tomatoes:46%, Metacritic:55/100",6.2,"10,934"
54,A Love Story,1970,N/A,"Drama, Romance",Roy Andersson,"Two teenagers fall in love over the summer, in spite of cynical and disapproving adults who dismiss their relationship as being nothing but young love.","Swedish, Spanish",Sweden,5 wins & 2 nominations,Internet Movie Database:7.3/10,7.3,"7,137"
55,Maharaja: The Story of Ranjit Singh,2010,N/A,Drama,Amarjit Virdi,N/A,N/A,India,N/A,,N/A,N/A
56,Abdullah: The Final Witness,2015,N/A,"Crime, Drama, Thriller",Hashim Nadeem,"The film is about the incident where five Russian citizens alleged to be suicide bombers were killed in Frontier Constabulary (FC), at the Kharotabad check post.","Urdu, Tajik, Russian",Pakistan,N/A,Internet Movie Database:6.9/10,6.9,88
57,A Beautiful Life,2023,TV-MA,"Drama, Music, Romance",Mehdi Avaz,"Elliott, a young fisherman with an extraordinary voice, gets the chance of a lifetime when high-profile music manager Suzanne discovers him at a party.",Danish,Denmark,N/A,Internet Movie Database:6.4/10,6.4,"4,602"
58,The Giant,2017,TV-MA,"Drama, History","Aitor Arregi, Jon Garaño","A story about the world's tallest man, this is an unsettling Basque-language period drama focused on sibling rivalry.","Basque, English, Spanish, French",Spain,19 wins & 19 nominations,Internet Movie Database:6.6/10,6.6,"4,588"
59,Aamir,2008,Not Rated,"Action, Crime, Drama",Raj Kumar Gupta,A doctor of Indian origin returning to Mumbai from London is forced to participate in a terrorist plot.,Hindi,India,5 nominations,Internet Movie Database:7.6/10,7.6,"11,454"
60,Hattrick,2018,N/A,"Drama, Thriller",Ramtin Lavafipour,"Four friends run over something after a party in this psychological thriller set in Iran of the empty lives of the middle class when they get together in groups, emotional explosions start happening along moral fault lines.",Persian,Iran,2 nominations,Internet Movie Database:5.8/10,5.8,755
61,Life in a Metro,2007,N/A,"Comedy, Drama, Romance",Anurag Basu,"Six different stories, about nine people, each with different issues and problems, all occurring within one place: the METRO.",Hindi,India,13 wins & 25 nominations,Internet Movie Database:7.4/10,7.4,"12,438"
62,Satyagraha,2013,N/A,Drama,Prakash Jha,A corporate go-getter sees his priorities shift when a personal tragedy brings him face-to-face with political corruption.,Hindi,India,2 nominations,Internet Movie Database:5.9/10,5.9,"5,308"
63,Naa Bangaaru Talli,2013,N/A,"Crime, Drama, Family",Rajesh Touchriver,"Naa Bangaaru Talli explores the consequences of sex trafficking, testing the vulnerability of trust in human relations.",Telugu,"India, Canada",6 wins,Internet Movie Database:7.4/10,7.4,167
64,The Black Prince,2017,PG-13,"Drama, History",Kavi Raz,"'The Black Prince' is a story of Queen Victoria and the Last King of Punjab, Maharajah Duleep Singh. His character as it evolves, torn between two cultures and facing constant dilemmas as a result. His relationship with Queen Vict...","English, Punjabi","United Kingdom, India, United States",14 wins,"Internet Movie Database:5.8/10, Rotten Tomatoes:7%, Metacritic:26/100",5.8,"1,031"
65,Nasha,2013,N/A,"Drama, Thriller",Amit Saxena,"A teenage boy becomes smitten with his new drama teacher and pursues her, despite the perilous risks of being found out.",Hindi,India,N/A,Internet Movie Database:3.2/10,3.2,"1,334"
66,Take My Brother Away,2018–,N/A,"Comedy, Drama, Family",N/A,"Impoverished teenage siblings struggle to live together, with one hoping to escape living in her ne'er-do-well brother's shadow.",Mandarin,China,1 win,Internet Movie Database:7.0/10,7.0,188
67,Mom,2013–2021,TV-14,"Comedy, Drama, Romance",N/A,A newly sober single mom tries to pull her life together in Napa Valley while dealing with her wayward mother.,English,United States,Won 2 Primetime Emmys. 12 wins & 45 nominations total,Internet Movie Database:7.3/10,7.3,"37,386"
68,Rang De Basanti,2006,Not Rated,"Comedy, Crime, Drama",Rakeysh Omprakash Mehra,"The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom.",Hindi,India,Nominated for 1 BAFTA Award49 wins & 56 nominations total,Internet Movie Database:8.1/10,8.1,"120,779"
69,Anthony Kaun Hai?,2006,N/A,"Mystery, Thriller",Raj Kaushal,"Two men, an assassin and his victim is a small time crook and a question lies between the men is WHO IS ANTHONY?",Hindi,India,N/A,Internet Movie Database:5.2/10,5.2,680
70,Soul Robbers from Outer Space,2009,N/A,Comedy,Jerry Williams,An evil space creature seeks to steal the souls of earthlings and only paranormal investigator can save the world.,English,USA,N/A,,N/A,N/A
71,Black Crows,2017,N/A,"Drama, Thriller, War",N/A,A look at the lives of various members of an ISIS terrorist cell.,"Arabic, French, English","Saudi Arabia, Syria, Egypt, Lebanon, Kuwait",N/A,Internet Movie Database:5.5/10,5.5,347
72,Main Hoon Na,2004,Not Rated,"Action, Comedy, Drama",Farah Khan,"An army major goes undercover as a college student. His mission is both professional and personal: to protect his general's daughter from a radical militant, and to find his estranged half-brother.",Hindi,India,18 wins & 46 nominations,Internet Movie Database:7.0/10,7.0,"37,936"
73,Everything Sucks!,2018,TV-14,"Comedy, Drama",N/A,"In 1990s Oregon, members of a high school A/V club clash with the drama club.",English,United States,4 nominations,Internet Movie Database:7.5/10,7.5,"21,968"
74,Pyar Ke Do Pal,1986,N/A,"Action, Drama",Rajiv Mehra,"Twins separated by a court order meet at camp and decide to reunite their parents, unaware of the dark secret that drove them apart years before.",Hindi,India,N/A,Internet Movie Database:6.4/10,6.4,85
75,Halt and Catch Fire,2014–2017,TV-14,Drama,N/A,Follows some players in the 80s technological revolution that lead to information society.,English,United States,Nominated for 1 Primetime Emmy. 2 wins & 14 nominations total,Internet Movie Database:8.4/10,8.4,"33,782"
76,TURN: Washington's Spies,2014–2017,TV-14,"Drama, History, War",N/A,A Long Island farmer bands together a group of childhood friends to form an unlikely group of spies who turn the tide in America's fight for independence.,English,United States,5 nominations,Internet Movie Database:8.1/10,8.1,"22,588"
77,Mân hàn dà cân - Wûwèi bâ zhên de suìyuè: What She Put on the Table,2017,N/A,Drama,N/A,"Fu Pei-Mei, was the first host on cooking TV show in Taiwan and her cooking style still influences lots of audiences. This drama remade her cooking life from beginner to expertise.",Mandarin,Taiwan,3 nominations,Internet Movie Database:7.0/10,7.0,35
78,Reign,2013–2017,TV-14,Drama,N/A,"Mary, Queen of Scots, faces political and sexual intrigue in the treacherous world of the French court.",English,United States,4 wins & 21 nominations,Internet Movie Database:7.4/10,7.4,"52,134"
79,Frequency,2000,PG-13,"Crime, Drama, Mystery",Gregory Hoblit,"An accidental cross-time radio link connects father and son across 30 years. The son tries to save his father's life, but then must fix the consequences.",English,United States,2 wins & 8 nominations,"Internet Movie Database:7.4/10, Rotten Tomatoes:70%, Metacritic:67/100",7.4,"112,064"
80,Degrassi: Next Class,2016–2017,TV-PG,"Drama, Romance",N/A,"Degrassi: Next Class follows the lives of the students from Degrassi Community School, a fictional high school in Toronto.",English,Canada,3 wins & 27 nominations,Internet Movie Database:6.9/10,6.9,"3,580"
81,The King's War,2016,N/A,Documentary,Trevor Poots,"Few know what happened, in fact, on August 23, 1944, and who were the main actors of change. Words like ""coup"", ""war"" and ""communists"" are used often in the same sentence, without knowing anything about the courage that a king nor...",Romanian,Romania,N/A,Internet Movie Database:8.3/10,8.3,145
82,The Legend of Bruce Lee,2009,PG-13,"Action, Biography, Drama",Li Wen Qi,"The story of the legendary martial arts icon Bruce Lee, following him from Hong Kong to America and back again, leading up to his tragic death at the age of 32.","Mandarin, English",USA,N/A,Internet Movie Database:7.6/10,7.6,51
83,Yaar Gaddar,1994,N/A,"Action, Drama, Mystery",Umesh Mehra,"When his brother becomes involved in a deadly bank robbery, a heartbroken cop vows to track down and retrieve his wayward sibling -- dead or alive.",Hindi,India,N/A,Internet Movie Database:3.8/10,3.8,174
84,Under the Black Moonlight,2016,N/A,"Drama, Horror, Mystery",N/A,"Kang Woo (Nam Tae Hyun) is a talented college student who is studying the fine arts. Strange things begin to happen when his girlfriend, Wol Ha (Kim Soo Yeon), and a few friends come to visit him at his family's mountain cabin.",Korean,South Korea,N/A,Internet Movie Database:4.9/10,4.9,66
85,Rangoon,2017,Not Rated,"Action, Drama, History",Vishal Bhardwaj,"Julia travels to the Indo-Burma border to perform for the troops during World War II on the insistence of her lover Billimoria, and ends up falling in love with a soldier there, Jemadar.","Hindi, English",India,4 wins & 17 nominations,"Internet Movie Database:5.6/10, Rotten Tomatoes:55%",5.6,"4,938"
86,President,2021,N/A,Documentary,Camilla Nielsson,A young and charismatic leader takes on the corrupt ruling party in Zimbabwe's 2018 presidential election.,"Shona, English","Denmark, Norway, United States, United Kingdom",4 wins & 16 nominations,"Internet Movie Database:7.6/10, Rotten Tomatoes:91%, Metacritic:93/100",7.6,398
87,Pink,2016,Not Rated,"Crime, Drama, Thriller",Aniruddha Roy Chowdhury,"When three young women are implicated in a crime, a retired lawyer steps forward to help them clear their names.",Hindi,India,20 wins & 37 nominations,"Internet Movie Database:8.1/10, Rotten Tomatoes:100%",8.1,"46,565"
88,Under the Shadow,2016,PG-13,"Drama, Fantasy, Horror",Babak Anvari,"As a mother and daughter struggle to cope with the terrors of the post-revolution, war-torn Tehran of the 1980s, a mysterious evil begins to haunt their home.",Persian,"United Kingdom, Jordan, Qatar, Iran",Won 1 BAFTA Award21 wins & 23 nominations total,"Internet Movie Database:6.8/10, Rotten Tomatoes:99%, Metacritic:83/100",6.8,"28,930"
89,Happy and,2011–,N/A,N/A,N/A,"Exploring the highs and lows of matrimony, this serial drama offers a candid look at married love from many points of view.",Korean,South Korea,N/A,Internet Movie Database:6.2/10,6.2,12
90,I Am the Pretty Thing That Lives in the House,2016,N/A,"Drama, Horror, Mystery",Oz Perkins,A young nurse takes care of an elderly author who lives in a haunted house.,English,Canada,2 nominations,"Internet Movie Database:4.6/10, Rotten Tomatoes:57%, Metacritic:68/100",4.6,"15,337"
91,Hard Lessons,2018,N/A,"Short, Action",Demetrius Angelo,"A master of CQC ""Teresa Nash"" teaches her recruits martial art techniques the hard way.",English,United States,N/A,,N/A,N/A
92,Unspeakable Acts,1990,Not Rated,"Biography, Drama",Linda Otto,The story of child psychologists Dr. Laurie and Joseph Braga and their involvement in one of the worst child sex abuse scandals in the U.S.,English,United States,N/A,Internet Movie Database:6.1/10,6.1,507
93,A Tale of Love and Darkness,2015,PG-13,"Biography, Drama, History",Natalie Portman,"The story of Amos Oz's youth, set against the backdrop of the end of the British Mandate for Palestine and the early years of the State of Israel. The film details the young man's relationship with his mother and his beginnings as...","Hebrew, English, Arabic, Russian","Israel, United States",2 nominations,"Internet Movie Database:6.0/10, Rotten Tomatoes:72%, Metacritic:55/100",6.0,"4,195"
94,Apollo 18,2011,PG-13,"Horror, Mystery, Sci-Fi",Gonzalo López-Gallego,"Decades-old found footage from NASA's abandoned Apollo 18 mission, where three American astronauts were sent on a secret expedition, reveals the reason the U.S. has never returned to the moon.",English,"United States, Canada",1 win & 2 nominations,"Internet Movie Database:5.2/10, Rotten Tomatoes:24%, Metacritic:24/100",5.2,"56,833"
95,B.A. Pass,2012,Unrated,"Crime, Drama, Thriller",Ajay Bahl,A young boy is seduced by a woman who later turns him into a gigolo (male prostitute).,Hindi,India,5 wins & 2 nominations,Internet Movie Database:6.4/10,6.4,"4,155"
96,Badland,2019,TV-14,"Drama, Western",Justin Lee,"Detective Matthias Breecher is hired to track down the worst of the Confederate war criminals. As he roams the Old West seeking justice, his resolve is tested when he meets a determined pioneer woman who is far more than she seems.",English,United States,N/A,"Internet Movie Database:5.6/10, Rotten Tomatoes:50%, Metacritic:46/100",5.6,"2,937"
